gid,gname,chridv,posv,snpid,p_ctl,p_scz
2171,MAGT1,13,32311696,534438,0.4933881,6.613848e-10
2336,NOMO1,5,83579008,231362,0.9853694,5.457934e-11
2447,ASAH1,13,32311696,534438,0.6150584,2.017984e-13
2126,RIOK3,6,87540023,282732,0.6256239,6.316273e-10
2800,MAPK8,5,1644315,212383,0.09130882,3.409621e-10
2822,GBF1,18,76409699,672816,0.8091862,2.560946e-10
2769,DDX58,1,48517657,14550,0.7967224,2.963104e-10
3082,CARS,2,232271284,118738,0.3097858,3.105101e-11
3082,CARS,2,232263973,118737,0.3231659,4.197699e-13
3082,CARS,2,232263127,118736,0.3231659,4.038297e-13
3340,MAN2A1,12,47604831,506360,0.9512308,3.546296e-10
3082,CARS,6,108294470,287352,0.6244751,2.459791e-11
3234,FAM65B,7,40961856,316813,0.5451454,1.009054e-10
3234,FAM65B,7,40959796,316812,0.5260853,4.45845e-12
3165,C12orf49,9,29508543,391185,0.2804124,6.569904e-10
3165,C12orf49,9,29501683,391184,0.1961046,5.317656e-10
3165,C12orf49,9,29486705,391180,0.2481919,5.317656e-10
3562,IFIH1,9,139656706,413775,0.8457774,9.487514e-10
3562,IFIH1,9,139656670,413774,0.8457774,9.487514e-10
3753,OLFML3,13,21526255,530519,0.4488249,1.478814e-10
3940,WDR35,12,129174658,528194,0.6899282,9.507121e-11
3940,WDR35,12,129174069,528193,0.3494946,8.767783e-11
4049,IFIT2,9,139656706,413775,0.6228606,8.905331e-10
4049,IFIT2,9,139656670,413774,0.6228606,8.905331e-10
4236,ANXA11,12,3345153,494193,0.5596912,1.124818e-10
4236,ANXA11,12,3335125,494189,0.7344661,1.72899e-10
4224,UBL3,16,6807461,607222,0.6056803,2.601395e-10
4621,IFI6,10,10729861,418630,0.7144361,1.768395e-10
4621,IFI6,10,10707944,418623,0.7216482,1.241898e-11
4731,ASPHD2,14,21081410,557699,0.8507222,5.270231e-10
4996,ZNF331,14,23944505,559019,0.8151797,1.119725e-10
4597,LRFN3,1,35223345,11067,0.6294174,1.665305e-10
4586,PSMB2,7,85005259,325135,0.1063022,2.310788e-10
5069,NDFIP1,20,53043792,707167,0.9109882,7.559005e-10
950,CFAP20,13,58824830,541424,0.3970225,1.922284e-11
998,ALDH3A2,1,32501215,10269,0.2509233,3.230651e-10
837,KLF6,14,28295642,560423,0.4585687,2.063462e-10
985,SLC6A15,6,46609905,274926,0.3748435,8.231003e-10
5502,CD36,9,136209319,412317,0.8803043,1.126043e-10
5810,KLC4,13,43399245,537791,0.6326188,7.824486e-10
5563,CCT7,12,131008550,529116,0.9816136,4.862143e-10
5900,LRRC49,7,88685040,326014,0.7037715,8.130764e-10
5900,LRRC49,7,88679791,326013,0.558813,2.354203e-10
5900,LRRC49,7,88677955,326012,0.6426575,6.847367e-10
6072,RNF185,2,38772915,74227,0.7477157,3.684417e-10
6499,ATP1B1,20,34819919,701550,0.802109,3.35066e-10
6389,NT5C3B,3,147505136,159516,0.910172,7.081107e-10
6456,RERE,3,142234534,158276,0.206846,4.818794e-10
6397,TXNL4A,17,26828497,636282,0.3634516,5.011089e-10
6232,DNAJA4,21,33929895,716159,0.5734547,6.730751e-10
6232,DNAJA4,21,33927560,716158,0.7597528,3.611766e-11
6416,ZFP14,7,15699816,308900,0.4342185,3.737874e-10
6416,ZFP14,7,15696151,308897,0.3151461,4.24508e-10
6482,RPS8,15,34093522,584535,0.8314761,8.337079e-10
6072,RNF185,9,29508543,391185,0.9735965,3.643369e-12
6072,RNF185,9,29501683,391184,0.9042922,5.43374e-14
6072,RNF185,9,29486705,391180,0.8571757,5.43374e-14
6684,HSPD1,20,3727970,693254,0.7448562,1.486771e-10
7404,HSPB8,16,50915133,615219,0.2897961,1.416828e-11
7404,HSPB8,16,50914412,615218,0.2276226,1.554243e-10
7461,GJA1,9,139590934,413738,0.9855432,2.623869e-10
7038,SLC39A4,17,31852906,637409,0.2321729,8.519803e-10
7092,INPP5E,11,60521225,471190,0.3480373,5.39416e-10
7129,GSTO1,11,69429136,474010,0.3458509,3.435878e-10
7038,SLC39A4,18,21891666,657194,0.3839268,5.948491e-10
7155,C11orf49,18,13177506,656229,0.4490225,6.920365e-10
7586,FAM134B,16,80970327,623990,0.5307654,2.411921e-11
7769,MAP3K7CL,9,87015151,398133,0.08775957,3.692387e-10
7945,GPRASP2,10,89182615,439078,0.05637347,5.975785e-12
7561,DGKE,3,69032484,142723,0.9918466,9.060098e-10
7614,GBP5,19,7931525,676093,0.2539877,1.488953e-11
7560,ANKFN1,11,110811164,484820,0.7915852,1.909946e-10
7879,KCNJ6,20,54395541,707553,0.4147177,1.7841e-10
7879,KCNJ6,20,54380555,707549,0.6415717,1.350143e-10
7719,DEPTOR,8,112931908,371247,0.7502996,7.698567e-10
8431,ANKRD30BL,2,11546173,66372,0.9066286,9.901957e-12
8431,ANKRD30BL,11,44784540,468431,0.9584722,4.865035e-10
8431,ANKRD30BL,11,11330390,458795,0.3886685,8.3993e-10
8431,ANKRD30BL,22,17799529,721656,0.2473355,6.930938e-10
8431,ANKRD30BL,3,3199635,123507,0.9780301,1.394072e-10
8431,ANKRD30BL,12,33058258,504080,0.9266436,1.222309e-12
8431,ANKRD30BL,13,79792109,546654,0.9419907,8.355442e-10
8431,ANKRD30BL,13,79787952,546653,0.9475571,9.645997e-10
8431,ANKRD30BL,13,79774846,546651,0.6994769,3.857164e-10
8431,ANKRD30BL,13,79766188,546647,0.5909427,6.186749e-11
8375,FCRLB,4,141029512,200529,0.9378235,5.007929e-10
8019,RCAN1,5,65908385,227034,0.531606,9.452452e-10
8160,CHTOP,13,109808286,555389,0.3515179,1.334934e-10
8431,ANKRD30BL,14,79248550,573698,0.6947853,8.922564e-10
8431,ANKRD30BL,14,79226876,573691,0.2198179,6.088338e-10
8431,ANKRD30BL,7,131619847,335504,0.824409,1.172263e-12
8431,ANKRD30BL,7,125805301,334065,0.9592966,7.304345e-10
8431,ANKRD30BL,7,125803961,334064,0.9592966,6.700955e-10
8125,LSS,7,159070969,342966,0.5809174,2.323114e-10
8431,ANKRD30BL,7,140585871,337885,0.9448421,1.152308e-10
8019,RCAN1,8,128270980,374868,0.8223275,3.825094e-10
8431,ANKRD30BL,16,1691106,605063,0.8669766,4.441565e-10
8655,CAMKV,2,50197075,77668,0.2536321,5.441425e-10
8739,ACSL6,1,5680572,1787,0.4011166,3.914414e-11
9064,WBP1L,1,214609822,52264,0.6033859,5.472783e-11
9283,TMEM145,10,35484949,426432,0.6817667,6.147956e-10
9283,TMEM145,10,35474699,426430,0.6817667,6.460711e-10
9283,TMEM145,10,35426755,426421,0.6817667,6.460711e-10
9283,TMEM145,10,35362977,426417,0.6443726,3.415081e-10
9302,MFSD3,10,91050991,439663,0.5271291,5.999412e-10
9489,SNTB2,2,199356751,110366,0.8242466,9.310376e-10
9302,MFSD3,3,42295806,135121,0.5856264,3.481154e-11
9142,SLFN5,12,116744912,524213,0.8317687,4.289485e-12
9274,ZNF701,11,131701966,491954,0.1715697,2.693232e-10
9274,ZNF701,11,131694816,491951,0.2761046,1.070232e-10
9274,ZNF701,11,131693277,491950,0.7632609,4.042217e-10
9798,GSTA4,5,26008899,218965,0.08279514,9.67412e-11
9950,TVP23B,6,33546837,270660,0.2812164,1.881867e-10
9950,TVP23B,6,33540209,270655,0.3146888,1.236032e-11
9670,PUSL1,7,109570757,331296,0.6075095,8.431341e-10
9678,MYRIP,1,183449357,44422,0.3876154,9.560348e-10
9708,ZNF282,1,162597545,38619,0.9509018,3.889864e-11
