gid,gname,chridv,posv,snpid,p_ctl,p_scz
4114,HSPH1,22,19643555,722258,2.074939e-12,0.4107961
4350,RAB9A,11,99032560,481761,5.753302e-11,0.8077808
4257,KLHL7,14,44410234,564122,9.881275e-10,0.4836432
4091,TCP1,8,87813597,366033,4.625881e-11,0.5054605
4789,TMOD2,2,197045077,109937,4.425765e-10,0.3252346
4712,FGL2,4,23880985,177398,1.943302e-10,0.3348919
4661,MASP1,1,26266697,8496,1.548996e-10,0.4166533
4732,SDF2L1,5,6517509,214337,3.241896e-10,0.1832655
4732,SDF2L1,5,6511314,214335,3.23961e-10,0.122739
4621,IFI6,8,19363963,351582,5.325001e-10,0.3754167
4621,IFI6,8,19362768,351576,6.61078e-10,0.3553269
4621,IFI6,8,19348020,351569,5.515369e-10,0.3951898
5322,HSD17B4,10,45964505,427884,5.960248e-10,0.564023
5034,SH3BGRL,8,31123341,355547,1.84796e-10,0.3745957
5087,KHDRBS3,9,80920757,396388,6.420936e-10,0.2997928
5391,CMPK2,8,131303878,375740,3.685842e-10,0.567266
781,MYLK,2,59234869,80288,6.463785e-10,0.5518175
671,SLC2A3,19,53779086,689357,4.412438e-10,0.1820827
5633,SCYL2,16,81881247,624462,8.238171e-10,0.2296589
5852,CCDC90B,6,21911852,261905,9.489567e-12,0.8120918
5877,PPP2R1B,14,34423678,562068,6.380845e-10,0.2459544
6024,HERC6,10,11848792,419038,5.561714e-10,0.08622395
6376,WDR45B,17,10194120,632787,5.338808e-10,0.4635999
6471,GPN2,10,82032331,437121,6.651745e-10,0.3965282
6106,GLIPR1,11,117343197,486882,4.629119e-10,0.2568002
6462,PGD,3,24746641,130548,7.329216e-12,0.5462279
6282,KIFC3,4,182179570,209055,9.608551e-10,0.5792741
6169,CUL4A,20,58919339,709306,7.262916e-10,0.7485482
6039,BMPR1B,1,168167139,40444,1.444235e-10,0.6269876
6777,CENPC,6,15686225,260127,1.646998e-10,0.3038117
6777,CENPC,6,15684656,260126,1.509174e-10,0.2490896
7488,ADGRA3,2,31588561,72037,9.604493e-11,0.2088788
7470,IFIT5,7,124348319,333846,1.185192e-11,0.8365226
7039,NAPRT,1,112856570,31583,1.565501e-11,0.2834025
7780,SFXN2,4,65134819,185154,1.020568e-10,0.6828022
7963,PPP1R9A,21,15596772,710993,1.8882e-10,0.2885381
8413,MAIP1,9,105733795,402889,3.279084e-10,0.4220134
8201,MRNIP,3,2573461,123152,1.475278e-10,0.8830739
8279,ASRGL1,4,58704924,184205,2.644448e-10,0.5407486
8223,LRRC56,7,156883839,342422,9.243459e-11,0.7955677
8556,RPP14,2,216862623,114431,2.504874e-11,0.1330442
8663,ETNPPL,17,55275529,643639,1.102031e-10,0.1674012
8593,DTX3L,11,121944684,488551,3.249554e-10,0.8606458
8998,PSMC3,4,58748479,184214,5.238657e-10,0.334328
8573,HPS3,8,52920335,358557,4.812006e-10,0.3900698
9322,ZNF558,10,58794959,430766,2.482322e-11,0.2659911
9291,ATCAY,1,33565513,10483,7.246227e-11,0.4572299
9415,MPLKIP,12,75116030,513766,5.567873e-10,0.06036066
9143,CATSPER2,14,68887667,570350,1.677165e-10,0.6486342
9948,CYP4F11,2,20924380,69051,7.16311e-10,0.9523091
9948,CYP4F11,2,20906599,69049,7.16311e-10,0.9523091
9711,FAXDC2,5,117330989,238030,9.542113e-10,0.8094836
9905,SPSB1,14,59791629,568265,1.359839e-11,0.7603907
